Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature
90961,ragi,50,40,20,5.66,884.5,27.65454545
47146,sweetpotato,90,20,120,5.02,942.8,28.99454545
81967,garlic,50,10,60,5.64,1111.68,28.64818182
7683,wheat,60,30,30,6.11,73.47,23.562
37192,moong,20,40,20,5.48,510.05,33.37333333
64665,maize,80,40,20,5.48,1151.02,28.03333333
39981,mango,20,20,30,4.82,1037.32,28.08181818
3263,onion,120,60,65,6.16,297.66,29.56666667
73792,turmeric,25,60,100,5.14,2817.86,27.90909091
26693,rice,80,40,40,5.4,664.94,22.03333333
49784,jowar,80,40,40,5.52,840.46,33.58333333
96261,moong,20,40,20,5.56,73.47,23.562
34233,onion,120,60,65,5.98,1603.2375,22.89090909
96630,jowar,80,40,40,5.42,1011.49,30.43
49916,moong,20,40,20,5.56,98.98,34.92333333
19463,ragi,50,40,20,5.58,790.98,30.61666667
77965,rice,80,40,40,5.46,152.54,22.28
1522,wheat,60,30,30,6.11,293.36,14.7
95296,onion,120,60,65,5.88,1246.715,22.6
17457,wheat,60,30,30,6.4,152.54,22.28
78898,rice,80,40,40,5.64,497.88,25.03333333
11980,moong,20,40,20,5.48,87.2,23.106
1457,jowar,80,40,40,5.54,331.88,35.34666667
32012,rapeseed,50,40,20,4.84,127.68,20.8
30878,maize,80,40,20,5.62,579.75,34.01
56702,rice,80,40,40,5.5,127.68,20.8
29538,barley,70,40,45,5.64,19.38,22.766
42301,onion,120,60,65,5.98,1089.6,20.70909091
72744,potato,180,60,90,5.04,516.68,27.86666667
56576,rice,80,40,40,5.34,497.88,25.03333333
90230,potato,180,60,90,5.08,556.2,28.54545455
70998,rice,80,40,40,5.44,127.68,20.8
82868,maize,80,40,20,5.66,167.38,23.56
87021,horsegram,20,60,20,5.98,1151.02,28.03333333
45377,moong,20,40,20,5.36,1145.22,28.5
85923,maize,80,40,20,5.42,1712.66,11.2
91634,garlic,50,10,60,5.52,75.32,22.676
61117,barley,70,40,45,5.66,19.38,22.766
15247,coriander,10,20,20,6.58,167.38,23.56
5735,potato,180,60,90,4.84,1026.64,29.18636364
10841,potato,180,60,90,4.96,1501.98,25.81818182
61556,banana,100,75,50,6.66,884.5,27.65454545
91913,sweetpotato,90,20,120,4.96,579.75,34.01
79844,sunflower,50,60,30,5.6,1151.02,28.03333333
12295,potato,180,60,90,5.08,1026.64,29.18636364
50915,maize,80,40,20,5.48,1246.715,22.6
55322,jowar,80,40,40,5.54,579.75,34.01
64915,rice,80,40,40,5.62,790.98,30.61666667
37831,banana,100,75,50,6.44,884.5,27.65454545
44465,wheat,60,30,30,7.0,73.47,23.562
3283,cotton,120,40,20,5.64,884.5,27.65454545
72912,rice,80,40,40,5.56,976.06,25.66666667
85204,potato,180,60,90,4.82,1110.78,25.66666667
17604,rice,80,40,40,5.32,152.54,22.28
36535,rice,80,40,40,5.68,207.55,26.43333333
78580,maize,80,40,20,5.34,1543.76,27.33333333
21228,onion,120,60,65,6.06,1111.68,28.64818182
40648,rice,80,40,40,5.34,1543.76,27.33333333
95185,maize,80,40,20,5.52,1246.715,22.6
8006,ragi,50,40,20,5.5,607.48,26.36666667
86808,maize,80,40,20,5.6,98.98,34.92333333
71731,moong,20,40,20,5.68,98.98,34.92333333
64614,jowar,80,40,40,5.54,1151.02,28.03333333
69021,horsegram,20,60,20,6.16,770.44,28.68
46372,ladyfinger,80,10,40,6.66,884.5,27.65454545
75471,rapeseed,50,40,20,5.16,167.38,23.56
85681,coriander,10,20,20,6.66,1037.32,28.08181818
38472,cabbage,100,65,70,6.64,942.8,28.99454545
43480,rice,80,40,40,5.4,330.0,29.33333333
44299,tomato,100,40,90,6.04,1111.68,28.64818182
20882,rapeseed,50,40,20,4.96,73.47,23.562
87617,rapeseed,50,40,20,4.84,199.2125,21.3
66534,potato,180,60,90,4.92,1111.68,28.64818182
81629,sweetpotato,90,20,120,4.94,1111.68,28.64818182
35424,turmeric,25,60,100,4.94,1111.68,28.64818182
75283,potato,180,60,90,4.9,167.38,23.56
36372,maize,80,40,20,5.64,423.745,22.07
7698,rapeseed,50,40,20,4.92,73.47,23.562
9060,rapeseed,50,40,20,5.18,19.38,22.766
28591,moong,20,40,20,5.66,607.48,26.36666667
12456,maize,80,40,20,5.44,790.98,30.61666667
45225,moong,20,40,20,5.42,207.55,26.43333333
86535,wheat,60,30,30,7.0,87.2,23.106
88786,coriander,10,20,20,6.52,1111.68,28.64818182
45617,horsegram,20,60,20,5.94,1145.22,28.5
46331,ragi,50,40,20,5.62,297.66,29.56666667
65617,rice,80,40,40,5.46,1246.715,22.6
36986,brinjal,80,15,40,6.34,550.1245,27.63636364
66257,sweetpotato,90,20,120,5.06,2817.86,27.90909091
19603,maize,80,40,20,5.44,331.88,35.34666667
77841,garlic,50,10,60,5.48,1166.94,28.33333333
88369,jowar,80,40,40,5.62,1011.49,30.43
84151,jute,80,40,40,5.58,1220.22,27.26666667
35602,sweetpotato,90,20,120,4.94,1111.68,28.64818182
57673,horsegram,20,60,20,6.18,1151.02,28.03333333
42288,wheat,60,30,30,6.5,240.1,10.38
82786,maize,80,40,20,5.68,1145.22,28.5
97941,maize,80,40,20,5.54,510.05,33.37333333
18682,maize,80,40,20,5.66,840.46,33.58333333
428,potato,180,60,90,5.04,2169.32,23.73636364
85660,turmeric,25,60,100,5.12,1037.32,28.08181818
28761,rice,80,40,40,5.66,207.55,26.43333333
29628,potato,180,60,90,4.94,556.2,28.54545455
71512,banana,100,75,50,6.66,1026.64,29.18636364
25396,rice,80,40,40,5.56,840.46,33.58333333
13671,sweetpotato,90,20,120,5.12,1111.68,28.64818182
68435,potato,180,60,90,5.14,556.2,28.54545455
3132,coriander,10,20,20,6.34,884.5,27.65454545
83407,wheat,60,30,30,6.3,19.38,22.766
96544,maize,80,40,20,5.34,1011.49,30.43
17714,ragi,50,40,20,5.68,1166.94,28.33333333
87863,onion,120,60,65,6.1,1246.715,22.6
69936,rapeseed,50,40,20,4.92,75.32,22.676
83542,cotton,120,40,20,5.44,884.5,27.65454545
12274,potato,180,60,90,5.14,1026.64,29.18636364
52639,ragi,50,40,20,5.42,607.48,26.36666667
30044,cotton,120,40,20,5.36,770.44,28.68
73186,banana,100,75,50,6.38,1603.2375,22.89090909
56601,rapeseed,50,40,20,5.08,127.68,20.8
19842,rapeseed,50,40,20,5.1,240.1,10.38
75615,cotton,120,40,20,5.36,411.52,34.73
15654,moong,20,40,20,5.48,510.05,33.37333333
89351,ragi,50,40,20,5.42,607.48,26.36666667
86170,rice,80,40,40,5.46,127.68,20.8
37735,jackfruit,75,40,50,4.92,884.5,27.65454545
81726,sweetpotato,90,20,120,5.06,1111.68,28.64818182
19084,moong,20,40,20,5.42,87.2,23.106
94048,maize,80,40,20,5.48,87.2,23.106
23277,rapeseed,50,40,20,4.84,446.14,25.44
59508,rice,80,40,40,5.52,1011.49,30.43
69950,rapeseed,50,40,20,5.08,75.32,22.676
79352,sweetpotato,90,20,120,4.86,87.2,23.106
808,sweetpotato,90,20,120,5.14,1026.64,29.18636364
59452,maize,80,40,20,5.44,1011.49,30.43
57137,banana,100,75,50,6.68,1026.64,29.18636364
58275,rice,80,40,40,5.42,664.94,22.03333333
82775,maize,80,40,20,5.34,1145.22,28.5
9805,ragi,50,40,20,5.38,770.44,28.68
2329,maize,80,40,20,5.6,607.48,26.36666667
69382,jowar,80,40,40,5.5,579.75,34.01
90172,rapeseed,50,40,20,5.0,19.38,22.766
13212,ragi,50,40,20,5.5,157.31,25.83333333
50524,moong,20,40,20,5.64,331.88,35.34666667
86841,moong,20,40,20,5.58,98.98,34.92333333
78360,maize,80,40,20,5.56,654.34,29.26666667
29595,jowar,80,40,40,5.38,510.05,33.37333333
58683,rice,80,40,40,5.68,199.2125,21.3
88732,barley,70,40,45,5.38,1111.68,28.64818182
34275,coriander,10,20,20,6.38,1603.2375,22.89090909
74829,wheat,60,30,30,7.0,70.11,25.6
74228,wheat,60,30,30,6.6,73.47,23.562
77087,sweetpotato,90,20,120,5.02,579.75,34.01
26337,cotton,120,40,20,5.66,790.98,30.61666667
38645,onion,120,60,65,5.86,34.81,34.66666667
99573,cotton,120,40,20,5.5,1166.94,28.33333333
29567,wheat,60,30,30,6.12,19.38,22.766
97814,onion,120,60,65,5.92,556.2,28.54545455
7040,maize,80,40,20,5.5,1246.715,22.6
84874,maize,80,40,20,5.52,579.75,34.01
75382,moong,20,40,20,5.54,113.7,30.26666667
49242,rapeseed,50,40,20,4.94,127.68,20.8
51992,rice,80,40,40,5.56,1011.49,30.43
56637,onion,120,60,65,6.0,2169.32,23.73636364
68581,sweetpotato,90,20,120,5.0,884.5,27.65454545
1768,maize,80,40,20,5.38,199.2125,21.3
63173,wheat,60,30,30,6.7,152.54,22.28
98484,rice,80,40,40,5.64,1220.22,27.26666667
14246,soyabean,20,60,20,5.36,1011.49,30.43
47685,onion,120,60,65,6.02,34.81,34.66666667
98848,wheat,60,30,30,6.6,75.32,22.676
99375,sunflower,50,60,30,5.64,34.81,34.66666667
43317,banana,100,75,50,6.44,2817.86,27.90909091
95861,blackpepper,100,60,50,5.04,2817.86,27.90909091
51900,coriander,10,20,20,6.52,1111.68,28.64818182
86411,sweetpotato,90,20,120,5.0,2169.32,23.73636364
89361,maize,80,40,20,5.38,70.11,25.6
17017,soyabean,20,60,20,5.64,579.75,34.01
12255,sweetpotato,90,20,120,5.04,1026.64,29.18636364
46039,wheat,60,30,30,6.6,19.38,22.766
18835,maize,80,40,20,5.56,87.2,23.106
45433,rice,80,40,40,5.6,1145.22,28.5
44241,maize,80,40,20,5.42,1011.49,30.43
12945,rice,80,40,40,5.48,199.2125,21.3
39914,jute,80,40,40,5.54,1166.94,28.33333333
32755,barley,70,40,45,5.44,87.2,23.106
47012,tomato,100,40,90,5.98,884.5,27.65454545
28073,potato,180,60,90,4.88,1111.68,28.64818182
57765,moong,20,40,20,5.68,1151.02,28.03333333
85967,banana,100,75,50,6.68,2169.32,23.73636364
72831,moong,20,40,20,5.68,516.68,27.86666667
14883,rice,80,40,40,5.44,167.38,23.56
84999,sunflower,50,60,30,5.4,34.81,34.66666667
93606,wheat,60,30,30,6.6,87.2,23.106
45720,rapeseed,50,40,20,4.92,167.38,23.56
9626,coriander,10,20,20,6.68,884.5,27.65454545
29382,rice,80,40,40,5.64,411.52,34.73
49120,moong,20,40,20,5.32,127.68,20.8
24468,soyabean,20,60,20,5.64,1166.94,28.33333333
46575,radish,25,100,50,5.94,884.5,27.65454545
23822,jowar,80,40,40,5.32,579.75,34.01
11186,horsegram,20,60,20,6.18,288.3,25.46
98202,maize,80,40,20,5.64,297.66,29.56666667
45122,potato,180,60,90,5.14,1050.245,18.77818182
13658,sweetpotato,90,20,120,5.0,1111.68,28.64818182
73635,horsegram,20,60,20,5.96,199.2125,21.3
24451,rice,80,40,40,5.46,1166.94,28.33333333
27016,onion,120,60,65,5.9,1603.2375,22.89090909
73646,sunflower,50,60,30,5.5,157.31,25.83333333
76980,rapeseed,50,40,20,5.16,75.32,22.676
17888,horsegram,20,60,20,6.06,288.3,25.46
32932,sunflower,50,60,30,5.56,840.46,33.58333333
7723,ragi,50,40,20,5.48,607.48,26.36666667
52725,banana,100,75,50,6.64,1050.245,18.77818182
6373,rice,80,40,40,5.66,331.88,35.34666667
89949,rice,80,40,40,5.64,1145.22,28.5
43696,jowar,80,40,40,5.54,73.47,23.562
41317,onion,120,60,65,5.88,1026.64,29.18636364
60274,banana,100,75,50,6.52,1050.245,18.77818182
48074,onion,120,60,65,5.88,34.81,34.66666667
66959,onion,120,60,65,6.14,1111.68,28.64818182
78416,onion,120,60,65,5.88,288.3,25.46
75711,soyabean,20,60,20,5.68,510.05,33.37333333
79101,onion,120,60,65,6.06,1026.64,29.18636364
69658,barley,70,40,45,5.48,75.32,22.676
23809,rapeseed,50,40,20,4.82,75.32,22.676
65585,rice,80,40,40,5.48,157.31,25.83333333
34180,moong,20,40,20,5.34,1246.715,22.6
53620,banana,100,75,50,6.46,550.1245,27.63636364
39000,maize,80,40,20,5.6,75.32,22.676
93130,maize,80,40,20,5.6,1543.76,27.33333333
11956,rice,80,40,40,5.68,840.46,33.58333333
79963,moong,20,40,20,5.62,790.98,30.61666667
73441,maize,80,40,20,5.34,157.31,25.83333333
51270,horsegram,20,60,20,6.14,199.2125,21.3
41742,coriander,10,20,20,6.36,1299.26,26.51818182
48096,onion,120,60,65,5.96,75.32,22.676
30812,potato,180,60,90,5.16,689.88,29.03727273
5815,rapeseed,50,40,20,5.16,87.2,23.106
18994,ragi,50,40,20,5.66,840.46,33.58333333
65209,horsegram,20,60,20,5.92,664.94,22.03333333
97764,wheat,60,30,30,6.7,19.38,22.766
90641,horsegram,20,60,20,6.16,884.5,27.65454545
72047,potato,180,60,90,4.88,94.02,22.38
29266,garlic,50,10,60,5.58,1426.3,26.73636364
93712,ragi,50,40,20,5.52,840.46,33.58333333
40027,sunflower,50,60,30,5.58,654.34,29.26666667
55327,barley,70,40,45,5.36,75.32,22.676
86253,banana,100,75,50,6.46,2169.32,23.73636364
18305,sweetpotato,90,20,120,5.18,2169.32,23.73636364
64380,maize,80,40,20,5.44,98.98,34.92333333
98622,rice,80,40,40,5.62,579.75,34.01
78625,blackpepper,100,60,50,4.88,2169.32,23.73636364
16980,rice,80,40,40,5.46,579.75,34.01
30578,moong,20,40,20,5.54,579.75,34.01
36287,tomato,100,40,90,5.96,1350.025,26.01818182
49467,maize,80,40,20,5.64,840.46,33.58333333
14785,soyabean,20,60,20,5.4,207.55,26.43333333
69265,onion,120,60,65,5.94,34.81,34.66666667
8420,rice,80,40,40,5.64,167.38,23.56
68707,rice,80,40,40,5.32,297.66,29.56666667
79806,sweetpotato,90,20,120,5.06,1299.26,26.51818182
99703,rice,80,40,40,5.64,182.5,29.2
89960,rice,80,40,40,5.52,167.38,23.56
50176,potato,180,60,90,5.18,1299.26,26.51818182
74345,sweetpotato,90,20,120,4.86,1111.68,28.64818182
17122,rapeseed,50,40,20,4.96,75.32,22.676
82906,wheat,60,30,30,6.11,113.7,30.26666667
40171,papaya,50,50,50,5.98,1037.32,28.08181818
64615,maize,80,40,20,5.62,1151.02,28.03333333
70564,potato,180,60,90,4.84,1501.98,25.81818182
84197,banana,100,75,50,6.58,34.81,34.66666667
64327,rice,80,40,40,5.5,87.2,23.106
42475,maize,80,40,20,5.52,976.06,25.66666667
22918,sunflower,50,60,30,5.64,297.66,29.56666667
84445,rice,80,40,40,5.46,579.75,34.01
27031,rice,80,40,40,5.4,157.31,25.83333333
52067,soyabean,20,60,20,5.38,1011.49,30.43
60243,rapeseed,50,40,20,5.08,56.236,15.852
66053,jowar,80,40,40,5.38,199.2125,21.3
77523,wheat,60,30,30,6.3,75.32,22.676
36893,rapeseed,50,40,20,4.9,167.38,23.56
57486,garlic,50,10,60,5.4,1026.64,29.18636364
69982,jowar,80,40,40,5.42,579.75,34.01
7716,soyabean,20,60,20,5.64,1011.49,30.43
68292,barley,70,40,45,5.42,19.38,22.766
17651,rapeseed,50,40,20,4.94,152.54,22.28
35358,maize,80,40,20,5.52,1011.49,30.43
33190,garlic,50,10,60,5.38,1299.26,26.51818182
79764,rice,80,40,40,5.32,1151.02,28.03333333
51605,rice,80,40,40,5.38,1997.12,27.0
72886,rice,80,40,40,5.32,976.06,25.66666667
39351,potato,180,60,90,5.16,689.88,29.03727273
72150,wheat,60,30,30,6.7,94.02,22.38
84451,maize,80,40,20,5.6,75.32,22.676
9100,potato,180,60,90,5.12,556.2,28.54545455
49512,barley,70,40,45,5.54,87.2,23.106
11445,rice,80,40,40,5.38,1543.76,27.33333333
7285,banana,100,75,50,6.64,2817.86,27.90909091
34154,horsegram,20,60,20,6.14,199.2125,21.3
10580,wheat,60,30,30,6.9,75.32,22.676
59505,jowar,80,40,40,5.58,1011.49,30.43
69988,garlic,50,10,60,5.66,75.32,22.676
21782,cotton,120,40,20,5.62,207.55,26.43333333
46341,brinjal,80,15,40,6.38,884.5,27.65454545
82134,maize,80,40,20,5.46,70.11,25.6
11757,onion,120,60,65,6.08,1026.64,29.18636364
69244,sweetpotato,90,20,120,5.14,579.75,34.01
49829,rice,80,40,40,5.44,840.46,33.58333333
35137,mango,20,20,30,5.1,1111.68,28.64818182
38934,maize,80,40,20,5.32,75.32,22.676
82342,rice,80,40,40,5.56,423.745,22.07
5878,jowar,80,40,40,5.54,840.46,33.58333333
98779,onion,120,60,65,6.02,75.32,22.676
88624,coriander,10,20,20,6.52,1111.68,28.64818182
28771,maize,80,40,20,5.54,207.55,26.43333333
35448,soyabean,20,60,20,5.56,1011.49,30.43
35352,papaya,50,50,50,6.06,1111.68,28.64818182
10600,barley,70,40,45,5.58,75.32,22.676
72445,rapeseed,50,40,20,5.12,41.3,21.704
96401,potato,180,60,90,4.84,1111.68,28.64818182
61935,turmeric,25,60,100,5.04,942.8,28.99454545
24750,horsegram,20,60,20,6.08,288.3,25.46
22886,coriander,10,20,20,6.36,556.2,28.54545455
82299,sunflower,50,60,30,5.62,70.11,25.6
52564,cotton,120,40,20,5.34,714.68,26.45454545
91822,rice,80,40,40,5.58,579.75,34.01
93341,cotton,120,40,20,5.5,1543.76,27.33333333
98857,onion,120,60,65,5.98,75.32,22.676
34669,jowar,80,40,40,5.66,199.2125,21.3
64090,maize,80,40,20,5.32,87.2,23.106
543,rice,80,40,40,5.46,497.88,25.03333333
66810,maize,80,40,20,5.68,1011.49,30.43
14943,rice,80,40,40,5.32,167.38,23.56
17299,sunflower,50,60,30,5.46,579.75,34.01
67742,horsegram,20,60,20,5.82,167.38,23.56
39392,rice,80,40,40,5.44,579.75,34.01
24062,jowar,80,40,40,5.64,579.75,34.01
67386,rapeseed,50,40,20,5.12,56.236,15.852
63085,rice,80,40,40,5.52,1166.94,28.33333333
74063,onion,120,60,65,5.82,1111.68,28.64818182
14159,jowar,80,40,40,5.44,1011.49,30.43
39716,rice,80,40,40,5.54,152.54,22.28
88131,maize,80,40,20,5.48,199.2125,21.3
25696,maize,80,40,20,5.34,98.98,34.92333333
51217,sunflower,50,60,30,5.68,199.2125,21.3
62265,rice,80,40,40,5.42,579.75,34.01
72927,rice,80,40,40,5.4,122.42,18.58
42378,barley,70,40,45,5.38,293.36,14.7
74339,wheat,60,30,30,6.7,73.47,23.562
27646,blackpepper,100,60,50,5.18,2817.86,27.90909091
56102,rice,80,40,40,5.56,288.3,25.46
61309,wheat,60,30,30,6.6,19.38,22.766
14592,sunflower,50,60,30,5.52,607.48,26.36666667
97144,rapeseed,50,40,20,4.98,70.598,18.92
77244,turmeric,25,60,100,5.12,75.32,22.676
47783,rice,80,40,40,5.58,579.75,34.01
8305,maize,80,40,20,5.36,113.7,30.26666667
68959,maize,80,40,20,5.62,770.44,28.68
50858,rapeseed,50,40,20,4.82,122.42,18.58
99667,jute,80,40,40,5.6,1166.94,28.33333333
37553,potato,180,60,90,5.16,2459.64,15.61818182
71948,coriander,10,20,20,6.46,1299.26,26.51818182
70735,wheat,60,30,30,6.4,241.78,1.18
66066,cotton,120,40,20,5.34,1603.2375,22.89090909
37023,rice,80,40,40,5.32,411.52,34.73
34135,brinjal,80,15,40,6.34,1603.2375,22.89090909
24375,maize,80,40,20,5.5,1110.78,25.66666667
1241,rice,80,40,40,5.38,141.46,28.474
34276,grapes,20,125,200,3.94,1603.2375,22.89090909
44144,brinjal,80,15,40,6.32,1111.68,28.64818182
77474,rice,80,40,40,5.58,579.75,34.01
65462,maize,80,40,20,5.54,976.06,25.66666667
33711,maize,80,40,20,5.42,664.94,22.03333333
56191,rapeseed,50,40,20,5.12,288.3,25.46
83632,rice,80,40,40,5.6,297.66,29.56666667
85263,rapeseed,50,40,20,4.84,169.82,14.6
44301,jowar,80,40,40,5.52,1011.49,30.43
73582,horsegram,20,60,20,6.1,199.2125,21.3
96725,rice,80,40,40,5.46,607.48,26.36666667
2959,soyabean,20,60,20,5.32,510.05,33.37333333
73989,soyabean,20,60,20,5.48,1011.49,30.43
75904,barley,70,40,45,5.34,19.38,22.766
38283,jowar,80,40,40,5.56,297.66,29.56666667
4219,onion,120,60,65,6.02,579.75,34.01
40269,jowar,80,40,40,5.34,654.34,29.26666667
65118,cotton,120,40,20,5.42,331.88,35.34666667
730,ragi,50,40,20,5.56,1026.64,29.18636364
92449,maize,80,40,20,5.32,169.82,14.6
53770,rice,80,40,40,5.42,510.05,33.37333333
7082,maize,80,40,20,5.36,157.31,25.83333333
16976,potato,180,60,90,5.18,689.88,29.03727273
34952,sweetpotato,90,20,120,5.04,2817.86,27.90909091
57168,maize,80,40,20,5.64,87.2,23.106
78720,blackgram,40,60,20,4.98,127.68,20.8
83880,coriander,10,20,20,6.48,884.5,27.65454545
45718,rice,80,40,40,5.5,1145.22,28.5
18432,maize,80,40,20,5.66,87.2,23.106
51394,ragi,50,40,20,5.36,157.31,25.83333333
41776,horsegram,20,60,20,6.14,94.02,22.38
84419,moong,20,40,20,5.64,34.81,34.66666667
91874,rice,80,40,40,5.54,579.75,34.01
52687,rice,80,40,40,5.6,702.459,27.23333333
92795,jowar,80,40,40,5.42,654.34,29.26666667
62324,coriander,10,20,20,6.66,689.88,29.03727273
57472,jute,80,40,40,5.42,840.46,33.58333333
87462,onion,120,60,65,6.18,421.14,28.50727273
26724,onion,120,60,65,6.08,1098.26,15.5
59604,sweetpotato,90,20,120,5.12,1111.68,28.64818182
